,Car Brand,Varient,Year released,car_transmission,Kilometers_travelled,owned,fuel_varient,price,emi_available
315,Maruti,S  Cross,2019,Manual,"64,527",2nd,Diesel,"₹10,35,999","₹19,455/month"
316,Ford,Ecosport,2018,Manual,"25,944",1st,Petrol,"₹8,04,199","₹15,102/month"
317,Tata,NEXON,2021,Manual,"14,248",1st,Petrol,"₹11,06,099","₹20,771/month"
318,Maruti,Wagon  R  1.0,2014,Manual,"76,151",1st,Petrol,"₹3,60,499","₹7,048/month"
319,Hyundai,Grand  i10,2018,Manual,"24,062",1st,Petrol,"₹5,42,399","₹10,604/month"
320,Hyundai,NEW  SANTRO,2019,Manual,"50,555",2nd,Petrol,"₹5,34,099","₹10,442/month"
321,Maruti,S  PRESSO,2019,Manual,"31,699",1st,Petrol,"₹4,63,099","₹9,054/month"
322,Maruti,Alto,2022,Manual,"2,172",1st,Petrol,"₹4,72,799","₹9,243/month"
323,Maruti,Alto  800,2019,Manual,"36,516",1st,Petrol,"₹3,19,799","₹6,252/month"
324,Maruti,Baleno,2016,Manual,"41,547",1st,Petrol,"₹6,54,199","₹12,790/month"
325,Maruti,Alto  K10,2019,Manual,"46,885",1st,Petrol,"₹4,02,799","₹7,875/month"
326,Maruti,Alto  K10,2018,Manual,"18,954",2nd,Petrol,"₹4,17,099","₹8,154/month"
327,Maruti,S  PRESSO,2021,Manual,"7,388",1st,Petrol,"₹5,05,299","₹9,879/month"
328,Hyundai,NEW  SANTRO,2020,Manual,"45,158",1st,Petrol,"₹5,42,699","₹10,610/month"
329,Hyundai,Grand  i10,2017,Manual,"57,256",2nd,Petrol,"₹5,35,899","₹10,477/month"
330,Maruti,Alto  K10,2017,Manual,"52,080",1st,Petrol,"₹3,52,499","₹6,891/month"
331,Honda,City,2017,Manual,"73,848",1st,Petrol,"₹8,03,199","₹15,083/month"
332,Maruti,S  PRESSO,2020,Manual,"32,478",1st,Petrol,"₹4,69,099","₹9,171/month"
333,Skoda,Rapid,2017,Automatic,"85,126",2nd,Diesel,"₹7,93,899","₹15,521/month"
334,Hyundai,Elite  i20,2017,Manual,"41,010",1st,Petrol,"₹6,93,999","₹13,568/month"
335,Hyundai,Verna,2017,Manual,"71,424",1st,Petrol,"₹7,53,199","₹14,725/month"
336,Maruti,Alto  800,2018,Manual,"32,199",1st,Petrol,"₹3,26,699","₹6,387/month"
337,Maruti,S  PRESSO,2020,Manual,"75,044",1st,Petrol,"₹4,85,499","₹9,492/month"
338,Hyundai,Grand  i10,2017,Manual,"30,208",1st,Petrol,"₹5,54,699","₹10,844/month"
339,Tata,NEXON,2021,Manual,"16,793",1st,Diesel,"₹12,59,599","₹23,654/month"
340,Hyundai,Elite  i20,2018,Manual,"51,343",2nd,Diesel,"₹7,95,999","₹15,562/month"
341,Renault,Captur,2019,Manual,"47,446",1st,Diesel,"₹12,81,299","₹24,061/month"
342,Hyundai,Verna,2018,Automatic,"57,871",1st,Diesel,"₹10,75,999","₹20,206/month"
343,Hyundai,Verna,2017,Manual,"71,578",1st,Petrol,"₹7,87,899","₹15,404/month"
344,Maruti,Vitara  Brezza,2020,Automatic,"46,790",1st,Petrol,"₹11,49,499","₹21,586/month"
345,Maruti,Alto,2021,Manual,"4,796",1st,Petrol,"₹4,39,799","₹8,598/month"
346,Maruti,Wagon  R  1.0,2016,Manual,"70,998",1st,Petrol,"₹4,29,799","₹8,403/month"
347,Maruti,Alto  800,2018,Manual,"39,885",1st,Petrol,"₹3,32,099","₹6,493/month"
348,Maruti,Baleno,2021,Manual,"63,991",1st,Petrol,"₹6,99,899","₹13,683/month"
